SEGGER J-Link Remote Server V6.30c LogFile
Logging started @ 2018-02-16 01:26
TT-EE-Time    -NNNN
TT: Type
  00 TCPIP_IN
  01 TCPIP_OUT
  02 USB_IN
  03 USB_OUT
  04 JLINK
  05 SERVER
EE: Encoding
  00 Plain text
  01 Hex
04-00-00000000-0073: TB9D0000 008:520 JLINK_RTTERMINAL_Control(Cmd = JLINKARM_RTTERMINAL_CMD_START)  returns 0x00 (0000ms, 0012ms total)
04-00-00000062-0072: TB9D0000 008:582 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0013ms total)
04-00-00000064-0072: TB9D0000 008:584 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0013ms total)
04-00-00000065-0072: TB9D0000 008:585 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0013ms total)
04-00-00000066-0072: TB9D0000 008:586 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0013ms total)
04-00-00000067-0072: TB9D0000 008:587 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0013ms total)
04-00-00000069-0072: TB9D0000 008:589 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0013ms total)
04-00-00000070-0072: TB9D0000 008:590 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0013ms total)
04-00-00000071-0072: TB9D0000 008:591 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0013ms total)
04-00-00000073-0072: TB9D0000 008:593 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0013ms total)
04-00-00000074-0072: TB9D0000 008:594 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0013ms total)
04-00-00000075-0072: TB9D0000 008:595 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0013ms total)
04-00-00000076-0072: TB9D0000 008:596 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0013ms total)
04-00-00000078-0072: TB9D0000 008:598 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0013ms total)
04-00-00000079-0072: TB9D0000 008:599 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0013ms total)
04-00-00000080-0072: TB9D0000 008:600 JLINK_RTTERMINAL_Read(BufferIndex = 0, BufferSize = 0x00002000)  returns 0 (0000ms, 0013ms total)
